Year,Month,monthly_anomaly,monthly_uncertainty,annual_anomaly,annual_uncertainty,five_year_anomaly,five_year_uncertainty,ten_year_anomaly,ten_year_uncertainty,twenty_year_anomaly,twenty_year_uncertainty
1765,5,-0.748,1.581,-0.485,1.152,-0.891,0.702,-1.080,0.612,-0.969,0.624
1765,6,NaN,NaN,-0.715,1.086,-0.916,0.710,-1.075,0.627,-0.973,0.623
1765,7,-1.235,4.019,-0.802,1.033,-0.884,0.741,-1.064,0.623,-0.976,0.623
1765,8,-0.428,1.962,-0.708,1.019,-0.826,0.769,-1.062,0.626,-0.972,0.624
1765,9,-0.622,1.341,-0.798,1.003,-0.823,0.756,-1.055,0.634,-0.972,0.624
1765,10,-1.443,1.548,-0.910,1.046,-0.842,0.770,-1.050,0.625,-0.980,0.624
1765,11,-1.191,3.042,-0.899,1.110,-0.852,0.770,-1.037,0.632,-0.968,0.625
1765,12,0.107,2.155,-0.655,1.478,-0.867,0.771,-1.020,0.607,-0.968,0.626
1766,1,-2.236,4.672,-0.628,1.903,-0.913,0.763,-0.967,0.618,-0.980,0.628
1766,2,1.723,2.400,-0.562,1.981,-0.915,0.751,-0.986,0.627,-0.990,0.626
1766,3,-0.675,2.183,-0.415,2.039,-0.924,0.752,-1.001,0.637,-0.996,0.626
1766,4,-1.118,3.506,-0.406,1.939,-0.905,0.744,-1.006,0.646,-1.006,0.626
1766,5,-0.604,2.617,-0.339,1.864,-0.890,0.769,-1.026,0.645,-1.019,0.625
1766,6,-0.133,5.865,-0.405,1.797,-0.889,0.803,-1.068,0.651,-1.018,0.626
1766,7,-0.908,2.989,-0.366,1.284,-0.846,0.789,-1.119,0.650,-1.023,0.626
